frame,timestamp_sec,scene_name,group_id,video_name,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cx,cy,frame_width,frame_height,crossed_line,direction,speed_px_s
55,1.833,log1,group_02,traffic1.mp4,7,car,0.711,822,361,988,497,905,429,1280,720,false,left,816.1
56,1.867,log1,group_02,traffic1.mp4,7,car,0.498,806,345,973,481,889,413,1280,720,false,left,678.8
57,1.9,log1,group_02,traffic1.mp4,7,car,0.634,794,336,965,472,879,404,1280,720,false,left,403.6
58,1.933,log1,group_02,traffic1.mp4,7,car,0.623,782,329,960,468,871,398,1280,720,false,left,283.0
59,1.967,log1,group_02,traffic1.mp4,7,car,0.706,770,326,950,467,860,396,1280,720,false,left,342.1
60,2.0,log1,group_02,traffic1.mp4,7,car,0.781,756,324,935,467,845,395,1280,720,false,left,421.1
61,2.033,log1,group_02,traffic1.mp4,7,car,0.743,748,321,929,467,838,394,1280,720,false,left,212.1
62,2.067,log1,group_02,traffic1.mp4,7,car,0.666,742,318,925,466,833,392,1280,720,false,left,189.7
63,2.1,log1,group_02,traffic1.mp4,7,car,0.744,733,316,912,465,822,390,1280,720,false,left,305.9
64,2.133,log1,group_02,traffic1.mp4,7,car,0.563,727,319,905,466,816,392,1280,720,false,left,228.5
65,2.167,log1,group_02,traffic1.mp4,7,car,0.683,722,317,903,464,812,390,1280,720,false,left,127.3
66,2.2,log1,group_02,traffic1.mp4,7,car,0.744,718,315,903,465,810,390,1280,720,false,left,60.0
67,2.233,log1,group_02,traffic1.mp4,7,car,0.719,714,315,903,467,808,391,1280,720,false,left,94.9
68,2.267,log1,group_02,traffic1.mp4,7,car,0.63,708,314,898,467,803,390,1280,720,false,left,153.0
69,2.3,log1,group_02,traffic1.mp4,7,car,0.597,701,314,891,468,796,391,1280,720,false,left,212.1
70,2.333,log1,group_02,traffic1.mp4,7,car,0.583,699,313,892,470,795,391,1280,720,false,left,42.4
70,2.333,log1,group_02,traffic1.mp4,11,car,0.445,614,205,786,327,700,266,1280,720,false,,0.0
71,2.367,log1,group_02,traffic1.mp4,7,car,0.455,693,314,890,474,791,394,1280,720,false,left,108.2
74,2.467,log1,group_02,traffic1.mp4,12,car,0.693,813,157,936,264,874,210,1280,720,false,,0.0
74,2.467,log1,group_02,traffic1.mp4,11,car,0.538,617,199,793,324,705,261,1280,720,false,right,48.0
75,2.5,log1,group_02,traffic1.mp4,12,car,0.734,812,160,936,269,874,214,1280,720,false,down,123.7
75,2.5,log1,group_02,traffic1.mp4,11,car,0.503,616,201,791,327,703,264,1280,720,false,right,67.1
75,2.5,log1,group_02,traffic1.mp4,11,car,0.401,616,201,791,327,703,264,1280,720,false,right,67.1
76,2.533,log1,group_02,traffic1.mp4,12,car,0.7,812,163,936,273,874,218,1280,720,false,down,90.0
76,2.533,log1,group_02,traffic1.mp4,7,car,0.599,664,331,861,499,762,415,1280,720,false,left,214.8
76,2.533,log1,group_02,traffic1.mp4,11,car,0.554,617,204,790,329,703,266,1280,720,false,right,90.0
77,2.567,log1,group_02,traffic1.mp4,7,car,0.712,661,334,860,504,760,419,1280,720,false,left,150.0
77,2.567,log1,group_02,traffic1.mp4,12,car,0.7,815,166,938,276,876,221,1280,720,false,down,108.2
78,2.6,log1,group_02,traffic1.mp4,12,car,0.705,816,165,940,278,878,221,1280,720,false,down,67.1
78,2.6,log1,group_02,traffic1.mp4,7,car,0.646,656,335,858,508,757,421,1280,720,false,left,108.2
79,2.633,log1,group_02,traffic1.mp4,12,car,0.732,818,166,943,278,880,222,1280,720,false,down,60.0
79,2.633,log1,group_02,traffic1.mp4,7,car,0.509,659,334,876,511,767,422,1280,720,false,left,301.5
80,2.667,log1,group_02,traffic1.mp4,12,car,0.784,819,166,945,276,882,221,1280,720,false,down,67.1
81,2.7,log1,group_02,traffic1.mp4,12,car,0.794,828,164,951,274,889,219,1280,720,false,right,247.4
81,2.7,log1,group_02,traffic1.mp4,13,car,0.58,634,208,793,328,713,268,1280,720,false,,0.0
82,2.733,log1,group_02,traffic1.mp4,12,car,0.742,836,161,958,271,897,216,1280,720,false,right,228.5
82,2.733,log1,group_02,traffic1.mp4,13,car,0.451,641,200,810,325,725,262,1280,720,false,right,402.5
83,2.767,log1,group_02,traffic1.mp4,12,car,0.745,845,157,966,267,905,212,1280,720,false,right,268.3
83,2.767,log1,group_02,traffic1.mp4,13,car,0.654,645,196,816,321,730,258,1280,720,false,right,192.1
84,2.8,log1,group_02,traffic1.mp4,12,car,0.71,853,150,974,260,913,205,1280,720,false,right,342.1
84,2.8,log1,group_02,traffic1.mp4,13,car,0.421,652,194,824,316,738,255,1280,720,false,right,256.3
85,2.833,log1,group_02,traffic1.mp4,12,car,0.726,864,143,986,253,925,198,1280,720,false,right,391.2
85,2.833,log1,group_02,traffic1.mp4,13,car,0.629,658,187,830,307,744,247,1280,720,false,right,300.0
86,2.867,log1,group_02,traffic1.mp4,12,car,0.774,875,135,997,245,936,190,1280,720,false,right,408.0
87,2.9,log1,group_02,traffic1.mp4,12,car,0.792,887,127,1008,236,947,181,1280,720,false,right,426.4
87,2.9,log1,group_02,traffic1.mp4,7,car,0.527,649,303,923,502,786,402,1280,720,false,down,100.8
88,2.933,log1,group_02,traffic1.mp4,12,car,0.765,898,115,1020,224,959,169,1280,720,false,right,488.4
88,2.933,log1,group_02,traffic1.mp4,7,car,0.689,649,296,931,494,790,395,1280,720,false,left,268.3
89,2.967,log1,group_02,traffic1.mp4,12,car,0.782,909,102,1032,211,970,156,1280,720,false,right,534.1
89,2.967,log1,group_02,traffic1.mp4,13,car,0.71,696,136,872,258,784,197,1280,720,false,up,480.2
89,2.967,log1,group_02,traffic1.mp4,7,car,0.425,648,277,939,481,793,379,1280,720,false,up,488.4
90,3.0,log1,group_02,traffic1.mp4,12,car,0.782,918,91,1041,200,979,145,1280,720,false,right,426.4
90,3.0,log1,group_02,traffic1.mp4,13,car,0.662,704,122,881,246,792,184,1280,720,false,up,474.3
90,3.0,log1,group_02,traffic1.mp4,7,car,0.428,647,257,946,468,796,362,1280,720,false,up,517.9
91,3.033,log1,group_02,traffic1.mp4,12,car,0.782,924,83,1049,192,986,137,1280,720,false,right,318.9
91,3.033,log1,group_02,traffic1.mp4,13,car,0.696,709,114,885,235,797,174,1280,720,false,up,295.5
91,3.033,log1,group_02,traffic1.mp4,7,car,0.459,641,249,944,460,792,354,1280,720,false,up,241.9
92,3.067,log1,group_02,traffic1.mp4,12,car,0.777,926,78,1053,187,989,132,1280,720,false,up,169.7
92,3.067,log1,group_02,traffic1.mp4,13,car,0.681,711,108,887,230,799,169,1280,720,false,up,189.7
92,3.067,log1,group_02,traffic1.mp4,15,person,0.545,20,110,58,179,39,144,1280,720,false,,0.0
93,3.1,log1,group_02,traffic1.mp4,12,car,0.795,929,79,1056,188,992,133,1280,720,false,up,60.0
93,3.1,log1,group_02,traffic1.mp4,13,car,0.689,712,110,888,230,800,170,1280,720,false,up,42.4
93,3.1,log1,group_02,traffic1.mp4,15,person,0.518,23,110,60,179,41,144,1280,720,false,right,60.0
94,3.133,log1,group_02,traffic1.mp4,12,car,0.781,931,80,1058,188,994,134,1280,720,false,up,67.1
94,3.133,log1,group_02,traffic1.mp4,13,car,0.718,713,112,888,231,800,171,1280,720,false,up,60.0
94,3.133,log1,group_02,traffic1.mp4,15,person,0.504,24,111,60,178,42,144,1280,720,false,right,30.0
95,3.167,log1,group_02,traffic1.mp4,12,car,0.769,932,80,1059,189,995,134,1280,720,false,right,42.4
95,3.167,log1,group_02,traffic1.mp4,13,car,0.713,714,112,890,232,802,172,1280,720,false,up,60.0
95,3.167,log1,group_02,traffic1.mp4,15,person,0.501,26,112,61,178,43,145,1280,720,false,right,30.0
96,3.2,log1,group_02,traffic1.mp4,12,car,0.78,933,81,1060,190,996,135,1280,720,false,right,42.4
96,3.2,log1,group_02,traffic1.mp4,13,car,0.64,715,110,891,233,803,171,1280,720,false,up,30.0
96,3.2,log1,group_02,traffic1.mp4,15,person,0.413,29,114,62,179,45,146,1280,720,false,right,94.9
97,3.233,log1,group_02,traffic1.mp4,12,car,0.752,935,82,1061,191,998,136,1280,720,false,right,67.1
97,3.233,log1,group_02,traffic1.mp4,13,car,0.575,716,110,892,233,804,171,1280,720,false,up,42.4
98,3.267,log1,group_02,traffic1.mp4,12,car,0.757,936,83,1063,192,999,137,1280,720,false,right,42.4
98,3.267,log1,group_02,traffic1.mp4,13,car,0.505,718,109,893,233,805,171,1280,720,false,right,30.0
99,3.3,log1,group_02,traffic1.mp4,12,car,0.755,941,85,1068,194,1004,139,1280,720,false,right,182.5
99,3.3,log1,group_02,traffic1.mp4,13,car,0.649,722,111,896,235,809,173,1280,720,false,right,134.2
100,3.333,log1,group_02,traffic1.mp4,12,car,0.765,948,85,1077,195,1012,140,1280,720,false,right,241.9
100,3.333,log1,group_02,traffic1.mp4,15,person,0.442,49,103,83,168,66,135,1280,720,false,right,167.7
100,3.333,log1,group_02,traffic1.mp4,13,car,0.404,735,108,917,235,826,171,1280,720,false,right,510.9
101,3.367,log1,group_02,traffic1.mp4,12,car,0.756,960,86,1090,195,1025,140,1280,720,false,right,360.0
101,3.367,log1,group_02,traffic1.mp4,13,car,0.6,743,106,927,234,835,170,1280,720,false,right,276.6
102,3.4,log1,group_02,traffic1.mp4,12,car,0.811,975,84,1106,194,1040,139,1280,720,false,right,451.0
102,3.4,log1,group_02,traffic1.mp4,13,car,0.563,755,103,942,232,848,167,1280,720,false,right,429.5
103,3.433,log1,group_02,traffic1.mp4,12,car,0.682,993,81,1126,191,1059,136,1280,720,false,right,577.1
104,3.467,log1,group_02,traffic1.mp4,12,car,0.661,1015,77,1150,187,1082,132,1280,720,false,right,700.4
105,3.5,log1,group_02,traffic1.mp4,12,car,0.762,1042,72,1178,182,1110,127,1280,720,false,right,853.3
106,3.533,log1,group_02,traffic1.mp4,12,car,0.772,1070,65,1208,175,1139,120,1280,720,false,right,895.0
107,3.567,log1,group_02,traffic1.mp4,12,car,0.811,1096,58,1237,169,1166,113,1280,720,false,right,859.1
108,3.6,log1,group_02,traffic1.mp4,12,car,0.706,1119,53,1262,164,1190,108,1280,720,false,right,713.1
109,3.633,log1,group_02,traffic1.mp4,12,car,0.769,1137,48,1279,159,1208,103,1280,720,false,right,553.2
110,3.667,log1,group_02,traffic1.mp4,12,car,0.594,1152,44,1289,155,1220,99,1280,720,false,right,408.0
111,3.7,log1,group_02,traffic1.mp4,12,car,0.801,1165,38,1294,152,1229,95,1280,720,false,right,308.9
112,3.733,log1,group_02,traffic1.mp4,12,car,0.699,1180,33,1297,148,1238,90,1280,720,false,right,268.3
